,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Final Region,p1_z,p2_z,p3_z,rating
1286,S Abid Ali ,1974,5,3,0,93,70,31,132,70,0,1,0,INDIA,0.0003768403637360444,0.0,0.295970233048532,0.02771986194673487
1213,R Murray ,2018,5,5,1,108,47,27,178,60,0,0,0,ZIM,0.00044259403424130715,0.0,0.2946063149238844,0.027604730488844105
1122,Krishna Chandran ,2014,12,10,2,134,43,16,274,48,0,0,3,UAE,0.0011102608565986675,0.0,0.2924240459244482,0.027525610033698
1138,Khawar Ali ,2019,5,5,1,128,79,32,256,50,0,1,0,OMAN,0.000754417463276069,0.0,0.2909691999248243,0.02732321316930578
1478,Humayun Farhat ,2001,5,3,0,60,39,20,56,107,0,0,0,PAK,0.00010314301255727512,0.0,0.29187847867458944,0.02728647398582237
1356,G Goudie ,2008,16,11,3,80,23,10,99,80,0,0,2,SCOT,0.00034189145903471756,0.0,0.2909691999248243,0.027246137050017053
1335,LHD Dilhara ,2005,9,9,0,83,29,9,107,77,0,0,1,SL,0.00017736914480831402,0.0,0.29056002448742985,0.02717717274561979
1217,CR Foggo ,2008,4,4,0,106,60,26,174,60,0,1,0,BMUDA,0.0003124680728632451,0.0,0.2891506424252941,0.027070750487564854
1163,J Arun Lal ,1982,13,13,0,122,51,9,232,52,0,1,4,INDIA,0.0005768641345167598,0.0,0.28842321942548205,0.02705219444870365
1246,AC Evans ,2009,36,18,8,100,28,10,157,63,0,0,2,SCOT,0.0012651135133978269,0.0,0.2864228061759988,0.026993908537881733
1420,Iftikhar Ahmed ,2015,4,4,2,68,32,34,73,93,0,0,0,PAK,0.00017142921238872115,0.0,0.2875139406757169,0.026891498666057247
1269,Manzoor Akhtar ,1997,7,4,0,97,44,24,147,65,0,0,0,PAK,0.0004873507343331244,0.0,0.28665012586343996,0.026869827930748356
1299,A Ratra ,2002,12,8,1,90,30,12,127,70,0,0,0,INDIA,0.0003859574693103032,0.0,0.28642280617599886,0.026829647532682546
1377,CA Lynn ,2017,4,4,0,75,44,18,89,84,0,0,1,AUS,0.00011064850856032685,0.0,0.2864228061759989,0.02677820896618771
1183,Tauseef Ahmed ,1982,70,25,14,116,27,10,216,53,0,0,3,PAK,0.003431347007039346,0.0,0.27951228767778424,0.0267530677136112
1245,S Elworthy ,1998,39,16,8,100,23,12,160,62,0,0,3,SA,0.001679757633075622,0.0,0.28187641242717343,0.02664665761950199
1250,A Zampa ,2016,48,20,5,100,22,6,159,62,0,0,3,AUS,0.0010323049993399775,0.0,0.28187641242717343,0.026525687945060786
1097,Shahid Saeed ,1989,10,10,0,141,50,14,316,44,0,1,0,PAK,0.0009166835241027818,0.0,0.2820582681771264,0.026521074207115074
1376,IG Holland ,2019,4,4,0,76,44,19,92,82,0,0,0,USA,0.00012073257987731047,0.0,0.28333125842679735,0.026491281574335012
1379,KDK Vithanage ,2013,6,6,1,75,27,15,90,83,0,0,0,SL,0.0001554052086521445,0.0,0.2830130108643799,0.026468029193219663
1381,MS Kasprowicz ,1995,43,13,9,74,28,18,89,83,0,0,2,AUS,0.001549079119844574,0.0,0.27923950405285475,0.026375902506534293
1401,SA Edwards ,2018,4,3,1,71,44,35,81,87,0,0,0,NL,0.000195810562901702,0.0,0.28083074186494345,0.02627171156930352
1477,ST Clarke ,1978,10,8,2,60,20,10,58,103,0,0,1,WI,0.00012018002802432492,0.0,0.28096713367740855,0.02627032248760102
1300,Aamer Hanif ,1993,5,4,2,89,36,44,128,69,0,0,0,PAK,0.0005186620060022976,0.0,0.2791940401153664,0.026179132742971085
1382,PWA Mulder ,2017,10,8,3,74,19,14,89,83,0,0,0,SA,0.00025817985330742904,0.0,0.27923950405285475,0.026134711636542175
1193,DL Maddy ,1998,8,6,0,113,53,18,206,54,0,1,1,ENG,0.0005975848290037124,0.0,0.27742094655332444,0.02602823675123057
1218,KO Meth ,2006,11,8,0,106,53,13,183,57,0,1,2,ZIM,0.0005477170242717798,0.0,0.2746931103040294,0.02576408580845068
1102,JM Wiener ,1979,7,7,0,140,50,20,324,43,0,1,0,AUS,0.000895134001836351,0.0,0.2736929036792877,0.025735557982242665
1225,D Elgar ,2012,8,7,1,104,42,17,177,58,0,0,0,SA,0.0004849333199763133,0.0,0.27423847092914677,0.025709883059053848
1267,AL Kandappah ,2007,2,2,1,97,69,97,156,62,0,1,0,CAN,0.00034838394330729714,0.0,0.2734201200543581,0.02560792015141869
1415,Mujeeb Ur Rahman ,2017,40,21,10,69,15,6,79,87,0,0,7,AFG,0.00042560306476200596,0.0,0.2729200167419875,0.02557562822090545
1238,RO Hinds ,2001,14,9,3,101,18,16,170,59,0,0,0,WI,0.0008140930633984921,0.0,0.2709196034925043,0.02546133544139623
1178,FL Reifer ,1997,8,8,0,117,40,14,229,51,0,0,0,WI,0.0005166820285290997,0.0,0.2712833149924104,0.025439745159006565
1205,BJ McCarthy ,2016,27,18,4,110,18,7,201,54,0,0,2,IRE,0.0008422271619129986,0.0,0.27005578868022745,0.02538589467086527
1240,Kuldeep Yadav ,2017,56,20,12,101,19,12,173,58,0,0,1,INDIA,0.0026287654405780492,0.0,0.26632774580619073,0.025371417762513542
1212,SS McKechnie ,2017,8,8,1,108,29,15,193,55,0,0,2,HKG,0.0004665609708645487,0.0,0.2700557886802274,0.02531570541768779
1355,Aftab Alam ,2010,27,17,10,80,16,11,107,74,0,0,3,AFG,0.0007045496585441364,0.0,0.26914650993046246,0.025275226528989503
1268,RB Kerr ,1985,4,4,1,97,87,32,159,61,0,1,0,AUS,0.0003514229784987162,0.0,0.2690101181179975,0.02519650686141676
1353,JNT Vare ,2014,9,9,1,81,28,10,110,73,0,0,0,PNG,0.00020260234609464748,0.0,0.26882826236804475,0.025151712389397646
1391,AL Wadekar ,1974,2,2,0,73,67,36,90,81,0,1,0,INDIA,7.459450015302957e-05,0.0,0.2688282623680446,0.025127795477730842
1292,SJ Harmison ,2002,58,25,14,91,18,8,141,64,0,0,3,ENG,0.0014802864141478917,0.0,0.26478197193159014,0.025012430860608705
1181,PH Edmonds ,1977,29,18,7,116,20,10,232,50,0,0,3,ENG,0.0014955736820804885,0.0,0.26369083743187194,0.02491335365644904
1214,Hamid Hassan ,2009,38,22,6,107,17,6,195,54,0,0,4,AFG,0.0009966654048224187,0.0,0.26269063080713045,0.024726698910659976
1288,PVD Chameera ,2015,23,14,7,93,19,13,150,62,0,0,1,SL,0.0009876864372114057,0.0,0.26214506355727124,0.0246740545513457
1168,GJAF Aponso ,1996,5,4,0,120,58,30,247,48,0,1,0,NL,0.0006824015384369712,0.0,0.26187227993234174,0.02459153193087447
1242,Tabarak Dar ,2004,4,4,0,101,36,25,175,57,0,0,0,HKG,0.0003021767946013922,0.0,0.261735888119877,0.02450774927678524
1350,JJ Smit ,2019,5,5,1,81,33,20,114,71,0,0,0,NAM,0.00020996970413445282,0.0,0.26146310449494764,0.024465037990392437
1130,Sajid Ali ,1984,13,12,0,130,28,10,293,44,0,0,0,PAK,0.0008094884646236138,0.0,0.26005372243281155,0.024445387664377444
1305,NK Patel ,2019,6,5,0,88,40,17,134,65,0,0,0,USA,0.0002622319002293222,0.0,0.26005372243281155,0.024343138565399162
1536,B Mavuta ,2018,7,5,1,52,20,13,47,110,0,0,1,ZIM,8.44022955435203e-05,0.0,0.2600537224328116,0.02430991298523475
1186,GD McGrath ,1993,250,68,38,115,11,3,236,48,0,0,14,AUS,0.0040587696361042685,0.0,0.25096093493516086,0.02420303590299894
1207,MG Burmester ,1992,8,7,1,109,39,18,207,52,0,0,0,ZIM,0.0006004857262318856,0.0,0.25768959768342237,0.024185481865731367
1556,ST Banerjee ,1991,6,5,3,49,25,24,42,116,0,0,0,INDIA,0.00011603588912693451,0.0,0.2584170206832347,0.024162923184860404
1407,Shuvagata Hom ,2011,4,3,1,70,35,35,86,81,0,0,0,BDESH,0.0002078976346857579,0.0,0.25778052555839903,0.024120625390185398
1306,Raees Ahmadzai ,2009,5,4,1,88,39,29,137,64,0,0,0,AFG,0.0003658814186518338,0.0,0.2560528959338452,0.023988748330372355
1390,R Telemachus ,1998,37,15,3,73,29,6,94,77,0,0,2,SA,0.0004674588676256502,0.0,0.25555279262147446,0.023961007495640303
1233,Waqas Barkat ,2014,10,10,2,102,27,12,184,55,0,0,3,HKG,0.00045751293427191285,0.0,0.2550526893091038,0.023912429696858986
1540,CS Cowdrey ,1985,3,3,1,51,46,25,46,110,0,0,1,ENG,5.2952885911101033e-05,0.0,0.2550526893091036,0.023836841932145195
1236,XJ Doherty ,2010,60,23,16,101,15,14,184,54,0,0,2,AUS,0.0034991267010055557,0.0,0.2479603150609362,0.023818155503520424
1278,JS Patel ,2005,43,15,8,95,34,13,162,58,0,0,1,NZ,0.0020364298541776984,0.0,0.25050629556027837,0.02378271083297364
1297,GB Murgatroyd ,2003,6,6,0,90,52,15,145,62,0,1,2,NAM,0.00025037505838401046,0.0,0.25368877118445615,0.023746311340769235
1230,G Toka ,2019,7,6,0,103,29,17,190,54,0,0,0,PNG,0.0004461856212857122,0.0,0.25287042030966744,0.023706446371411335
1375,SS Cottrell ,2015,30,14,7,76,17,10,103,73,0,0,1,WI,0.0006876968270280817,0.0,0.25223392518483184,0.023692108995051805
1296,RT Lyons ,2006,25,14,10,90,28,22,147,61,0,0,0,SCOT,0.0017869526925547892,0.0,0.2495970168105133,0.023651154107814796
1277,HK Olonga ,1995,50,27,14,95,31,7,163,58,0,0,6,ZIM,0.0012871925645233683,0.0,0.25050629556027837,0.0236427237724751
1345,MC Henriques ,2009,11,10,1,81,18,9,119,68,0,0,0,AUS,0.00024657626439473563,0.0,0.2504153676853019,0.023439801171012357
1308,Anil Dalpat ,1984,15,10,3,87,37,12,136,63,0,0,1,PAK,0.0005260293640421029,0.0,0.24918784137311883,0.02337733887402989
1261,LR Johnson ,2008,6,6,0,98,51,16,175,56,0,1,1,WI,0.00032232191424148485,0.0,0.24950608893553666,0.023369008887257244
1309,H Hiri ,2016,7,7,3,87,31,21,137,63,0,0,1,PNG,0.00039742292025975043,0.0,0.24918784137311883,0.02335331012068986
1294,SG Peall ,1992,21,15,1,91,21,6,150,60,0,0,4,ZIM,0.00041441388973905135,0.0,0.2482330986858657,0.023267292918692572
1228,K Birkenstock ,2019,5,5,0,103,61,20,193,53,0,1,2,NAM,0.0003554750254206086,0.0,0.2481876347483773,0.023252033587627792
1330,Saqib Ali ,2008,5,5,1,84,25,21,129,65,0,0,0,UAE,0.0002494771616229091,0.0,0.24823309868586566,0.023236476236106092
1253,AFG Griffith ,1996,9,8,1,99,47,14,177,55,0,0,0,WI,0.00045640783056594207,0.0,0.2475511396235418,0.023211430624463007
1456,DE Budge ,2018,3,3,0,62,27,20,70,88,0,0,0,SCOT,6.446438284829698e-05,0.0,0.24805124293591255,0.023184919644457406
1426,JA Richardson ,2018,12,7,2,68,29,13,84,80,0,0,0,AUS,0.0002765522024191937,0.0,0.24732381993610056,0.023156590363994232
1177,NB Mahwire ,2004,23,19,8,117,22,10,249,46,0,0,2,ZIM,0.0012611996044391799,0.0,0.2446869115617819,0.023094222097930373
1131,RW Taylor ,1973,27,17,7,130,26,13,312,41,0,0,2,ENG,0.0024279128420178556,0.0,0.24232278681239258,0.023091354274057056
1276,Mohammad Tauqir ,2004,11,9,2,95,55,13,164,57,0,1,0,UAE,0.0004908502294020322,0.0,0.24618722149889422,0.02309044898674007
1411,SR Clark ,2005,39,12,7,69,16,13,88,78,0,0,1,AUS,0.001000855589707558,0.0,0.24468691156178188,0.02304557957326709
1394,TG Hogan ,1983,16,12,4,72,27,9,95,75,0,0,1,AUS,0.0002952698964390742,0.0,0.2455052624365703,0.022990198453033992
1380,NG Jones ,2010,14,9,4,74,25,14,102,72,0,0,0,IRE,0.0004273988582842087,0.0,0.24223185893741617,0.022709084946313206
1343,Nasir Aziz ,2014,5,3,0,82,60,27,125,65,0,1,0,UAE,0.00031081041730428874,0.0,0.24232278681239255,0.02269579608534658
1329,GI Maiden ,2010,7,6,2,84,31,21,133,63,0,0,1,SCOT,0.00038581933134705713,0.0,0.240595157187839,0.02254841604897835
1354,Jai P Yadav ,2002,12,7,3,81,69,20,123,65,0,1,2,INDIA,0.0006230022142410406,0.0,0.23936763087565627,0.0224780560092225
1443,KCG Benjamin ,1992,26,13,7,65,17,10,80,81,0,0,1,WI,0.0004604598774878351,0.0,0.23936763087565627,0.022447686693329076
1502,Sohail Fazal ,1989,2,2,0,56,32,28,59,94,0,0,0,PAK,3.8033985880495344e-05,0.0,0.23932216693816777,0.022364513656977406
1311,Suraj Kumar ,2019,5,4,1,87,35,29,144,60,0,0,0,OMAN,0.0003845760896778399,0.0,0.2373217536886846,0.022242383357134226
1359,PWE Rawson ,1983,10,8,3,80,24,16,123,65,0,0,1,ZIM,0.0004077832675032266,0.0,0.23641247493891973,0.022161774815749012
1264,GC Small ,1987,53,24,9,98,18,6,188,52,0,0,6,ENG,0.001350436728696322,0.0,0.2316842254401412,0.02189618794498679
1370,Sami Aslam ,2015,4,4,0,78,45,19,117,66,0,0,0,PAK,0.0001535403461483188,0.0,0.2340483501895304,0.021893416367566015
1333,GH Bodi ,2007,2,2,0,83,51,41,132,62,0,1,0,SA,0.00012460044284820864,0.0,0.2339574223145539,0.02187951479712153
1282,VC Drakes ,1995,34,17,5,94,25,7,174,54,0,0,2,WI,0.0009253862157873017,0.0,0.23077494669037618,0.021731827196739655
1453,Taijul Islam ,2014,6,4,1,63,39,21,77,81,0,0,0,BDESH,0.0001861409054744574,0.0,0.23200247300255905,0.021708382183848504
1436,IS Sodhi ,2015,31,13,2,67,24,6,88,76,0,0,4,NZ,0.00036468422297036525,0.0,0.23150236969018817,0.021695021607336225
1471,L Sreekumar ,2015,4,4,0,61,28,15,73,83,0,0,0,UAE,7.563053487737697e-05,0.0,0.23018391550302877,0.021517845376272125
1327,SF Dukanwala ,1996,5,4,2,84,40,42,139,60,0,0,0,UAE,0.0005376329529547959,0.0,0.22913824494079904,0.02150647939943687
1321,PB Dassanayake ,1993,16,10,2,85,20,10,142,59,0,0,0,SL,0.0004903897695245443,0.0,0.22800164650359275,0.021391471814172898
1318,R Vinay Kumar ,2010,31,13,4,86,27,9,146,58,0,0,2,INDIA,0.0009075664185285223,0.0,0.22677412019140997,0.021354741705246337
1313,BD Julien ,1973,12,8,2,86,26,14,148,58,0,0,1,WI,0.000524740076385137,0.0,0.22677412019140997,0.021283214653592532
1565,GK Robertson ,1981,10,6,0,49,17,8,48,102,0,0,1,NZ,7.956746682989799e-05,0.0,0.22722875956629254,0.021242511140020987
1280,Aarif Sheikh ,2018,6,6,1,94,29,18,176,53,0,0,1,NEPAL,0.00036468422297036563,0.0,0.2265013365664803,0.021227826543695746
1384,Yasir Arafat ,2000,11,8,3,74,27,14,110,67,0,0,0,PAK,0.0003545541056656331,0.0,0.2254102020667623,0.021124000370025296
1504,MA Wood ,2015,51,17,10,56,13,8,63,88,0,0,3,ENG,0.0005801794456346727,0.0,0.2240462839421145,0.021038739242101066
1506,FY Fazal ,2016,1,1,1,55,55,0,61,90,0,1,0,INDIA,0.0,0.0,0.22504649056685638,0.021023777863821487
1486,RO Butcher ,1980,3,3,0,58,52,19,68,85,0,1,0,ENG,5.94914161714283e-05,0.0,0.22413721181709118,0.020949948648477053
1383,MM Patel ,2006,70,27,16,74,15,6,112,66,0,0,4,INDIA,0.0010675301799677962,0.0,0.2220458706926315,0.020942917545091352
1342,DB Kotze ,2003,6,6,1,82,27,16,135,60,0,0,0,NAM,0.000248648333843431,0.0,0.2236825724422085,0.020942818338715016
1258,DCC Borden ,2006,12,11,4,98,24,14,195,50,0,0,2,BMUDA,0.0006913805060479842,0.0,0.22277329369244345,0.020940593603875124
1208,CL Smith ,1984,4,4,0,109,70,27,240,45,0,1,0,ENG,0.0004475670009181762,0.0,0.22300061337988475,0.02091627576929137
1358,Hammad Azam ,2011,11,7,2,80,36,16,131,61,0,0,0,PAK,0.00048256195160725096,0.0,0.22186401494267852,0.02081663350929245
1465,BT Foakes ,2019,1,1,1,61,61,0,76,80,0,1,0,ENG,0.0,0.0,0.22186401494267832,0.02072647191423206
1593,TB Sole ,2018,10,7,1,46,20,7,43,106,0,0,0,SCOT,6.236929040572719e-05,0.0,0.22168215919272533,0.02072113604486029
1351,S Sriram ,2000,8,7,1,81,57,13,135,60,0,1,1,INDIA,0.00028283747974690255,0.0,0.22095473619291348,0.020694372547822804
1295,DP Samaraweera ,1993,5,4,0,91,49,22,169,53,0,0,0,SL,0.0003423979648999541,0.0,0.21927257050584806,0.0205483533638151
1469,DR Parry ,1978,6,5,1,61,32,15,77,79,0,0,0,WI,0.00013295778962461242,0.0,0.21909071475589487,0.020492232771576777
1447,VA Holder ,1973,12,6,1,64,30,12,85,75,0,0,1,WI,0.00025831799127067534,0.0,0.21822689994361819,0.020434957669745252
1572,RJ Harris ,2009,21,13,7,48,21,8,48,100,0,0,0,AUS,0.0001768165929553288,0.0,0.21822689994361819,0.02041972999577036
1851,Hasti Gul ,2009,2,1,1,23,23,0,11,209,0,0,0,AFG,0.0,0.0,0.21854514750603626,0.020416424281088887
1557,DB Close ,1972,3,3,0,49,43,16,50,98,0,0,0,ENG,3.68367901990268e-05,0.0,0.2183178278185948,0.020402070706340904
1325,KJ Barnett ,1988,1,1,0,84,84,84,146,57,0,1,0,ENG,0.0,0.0,0.21768133269375908,0.02033572695191459
1252,LV Garrick ,2001,3,3,0,99,76,33,204,48,0,1,0,WI,0.00030998158952481045,0.0,0.21604463094418194,0.020240743529607013
1304,VB Chandrasekhar ,1988,7,7,0,88,53,12,162,54,0,1,0,INDIA,0.0002685402005509053,0.0,0.21604463094418191,0.02023300064453503
1360,SK Sharma ,1988,23,12,4,80,28,10,135,59,0,0,2,INDIA,0.0006837829180694348,0.0,0.2145897849445579,0.020174673061715397
1284,Mohammed Qasim ,2017,5,5,0,94,41,18,188,50,0,0,0,UAE,0.0003116392450837667,0.0,0.21368050619479273,0.020020197396743482
1543,A Mithun ,2010,5,3,0,51,24,17,55,92,0,0,0,INDIA,8.610599709022526e-05,0.0,0.21331679469488665,0.019944081072730428
1328,VB John ,1982,45,19,10,84,15,9,152,55,0,0,3,SL,0.0013858000472873882,0.0,0.21004339119573248,0.019881114749706993
1344,RD Robinson ,1977,2,2,0,82,70,41,143,57,0,1,0,AUS,0.00013498381308555925,0.0,0.21249844382009805,0.01987676327418956
1229,MW Priest ,1990,18,14,4,103,24,10,225,45,0,0,2,NZ,0.0008806295156954844,0.0,0.2107253502580562,0.01985043739844873
1237,ERNS Fernando ,1983,7,5,0,101,36,20,216,46,0,0,2,SL,0.0005967560012242342,0.0,0.21122545357042713,0.019844118142069732
1235,Arshad Laeeq ,1994,6,6,1,101,43,20,215,46,0,0,1,UAE,0.000494994368299423,0.0,0.21122545357042713,0.01982510505761521
1255,BC Rose ,1977,2,2,0,99,54,49,210,47,0,1,0,ENG,0.00023690660696749192,0.0,0.2115437011328448,0.019806614684986998
1545,KW Richardson ,2013,22,10,5,51,19,10,56,91,0,0,2,AUS,0.00027075040796284715,0.0,0.21099813388298572,0.019761971306913786
1365,UT Yadav ,2010,75,24,14,79,18,7,134,58,0,0,4,INDIA,0.00159807205080928,0.0,0.20831576157117884,0.019759380869338275
1406,SR Gillespie ,1986,19,11,5,70,18,11,106,66,0,0,1,NZ,0.00048320659543573416,0.0,0.21004339119573254,0.019712474712839316
1419,OJ Hairs ,2010,5,5,0,68,27,13,100,68,0,0,0,SCOT,0.0001197195681468371,0.0,0.21022524694568548,0.01966154991895753
1331,Younis Ahmed ,1987,2,2,0,84,58,42,151,55,0,1,0,PAK,0.00014601182715139304,0.0,0.21004339119573248,0.019649473437970313
1547,DE Bollinger ,2009,39,8,2,50,30,8,54,92,0,0,1,AUS,0.00037794546744201476,0.0,0.20913411244596722,0.019607863227730934
1521,RG Samuels ,1996,8,5,2,54,36,18,63,85,0,0,0,WI,0.00018275652537492194,0.0,0.20867947307108498,0.01952892196052917
1461,JB Reva ,2016,9,7,1,62,36,10,83,74,0,0,1,PNG,0.00015287267932596128,0.0,0.20858854519610828,0.01951484402436913
1517,J Kila ,2018,6,6,2,54,21,13,63,85,0,0,1,PNG,9.427915991563439e-05,0.0,0.20867947307108498,0.019512390900900484
1374,TL Best ,2004,26,16,8,76,24,9,125,60,0,0,1,WI,0.0006475217027172681,0.0,0.2073155549464371,0.01948834158107306
1373,KJ Abbott ,2013,28,13,4,76,23,8,126,60,0,0,1,SA,0.0006265938012854459,0.0,0.2073155549464371,0.01948443142411171
1162,GA Paterson ,1983,10,10,0,123,27,12,327,37,0,0,1,ZIM,0.0008130800516680188,0.0,0.20690637950904303,0.019481049356274146
1326,IG Butler ,2002,26,13,5,84,25,10,154,54,0,0,2,NZ,0.0008863852641640822,0.0,0.20622442044671915,0.01943103724187675
1332,OAC Banks ,2003,5,5,0,83,33,16,149,55,0,0,0,WI,0.00021954726958619972,0.0,0.20754287463387847,0.019429615225550007
1413,Y Goonasekera ,1983,3,3,0,69,35,23,104,66,0,0,0,SL,0.00011014200269509013,0.0,0.20704277132150775,0.019362454502595952
1367,MF Kent ,1981,5,5,1,78,33,19,133,58,0,0,0,AUS,0.00023271642208235187,0.0,0.20567885319686008,0.019257939400459417
1232,Ehsan Khan ,2016,15,12,3,102,27,11,228,44,0,0,2,HKG,0.0008083833609176429,0.0,0.20404215144728302,0.019212596474668865
1366,AC Dale ,1997,30,12,8,78,15,19,136,57,0,0,1,AUS,0.0017252510689714207,0.0,0.20213266607277625,0.01920551993552992
1227,RP Singh ,2005,58,20,10,104,23,10,242,42,0,0,3,INDIA,0.0031757917750335975,0.0,0.19858647894869247,0.019145254347060808
1378,AP Sheahan ,1972,3,3,0,75,50,25,124,60,0,1,0,AUS,0.00014274256202122896,0.0,0.20458771869714207,0.019139195268216953
1621,GJ Gilmour ,1974,5,2,1,42,28,42,39,107,0,0,0,AUS,0.00015084665586501467,0.0,0.2043149350722125,0.01911522606530114
1368,Mustafizur Rahman ,2015,56,27,17,78,18,7,136,57,0,0,4,BDESH,0.0012054839592631522,0.0,0.20213266607277625,0.019108406950316046
1403,MJG Rippon ,2013,6,4,1,71,51,23,112,63,0,1,0,NL,0.0002965361611021659,0.0,0.20336019238495903,0.019053254823055123
1387,EB McSweeney ,1986,16,14,5,73,18,8,119,61,0,0,2,NZ,0.0003287683525263142,0.0,0.20245091363519407,0.01897433250997447
1241,TA Lloyd ,1984,3,3,0,101,49,33,228,44,0,0,0,ENG,0.00034645001182184693,0.0,0.20204173819779983,0.01893941109027701
1307,AJ Traicos ,1983,27,17,9,88,19,11,175,50,0,0,1,ZIM,0.001152300843413307,0.0,0.20004132494831658,0.018903097766648266
1283,GFJ Liebenberg ,1995,4,4,0,94,39,23,199,47,0,0,0,SA,0.00031612872888927353,0.0,0.20085967582310518,0.01882331795523281
1417,FS Crockwell ,2009,2,2,0,68,45,34,104,65,0,0,0,BMUDA,8.140930633984949e-05,0.0,0.2009506036980817,0.018787957570208257
1338,RGD Willis ,1973,64,22,14,83,24,10,157,52,0,0,4,ENG,0.002277204324116088,0.0,0.19622235419930328,0.018756506940817014
1337,R Strydom ,2008,9,6,0,83,37,13,155,53,0,0,0,IRE,0.0003711306612551952,0.0,0.19999586101082834,0.018752897155190195
1334,AG Davies ,1999,5,5,1,83,32,20,154,53,0,0,1,SCOT,0.0002836432845325063,0.0,0.19999586101082834,0.01873655106448268
1171,EJ Chatfield ,1979,114,48,37,118,19,10,346,34,0,0,6,NZ,0.009001530145009685,0.0,0.18240131720287409,0.01872171880901362
1484,MBS Jonkman ,2006,16,9,4,59,16,11,79,74,0,0,1,NL,0.0003001047251526966,0.0,0.19849555107371608,0.018599468191405247
1441,Sharafuddin Ashraf ,2014,17,10,3,66,21,9,100,66,0,0,2,AFG,0.00033153111179124107,0.0,0.19804091169883334,0.01856286760073871
1439,Akhtar Sarfraz ,1997,4,4,0,66,25,16,99,66,0,0,0,PAK,0.00010940526689110974,0.0,0.19804091169883334,0.01852136573675291
1490,Saqlain Haider ,2014,5,4,0,58,28,14,77,75,0,0,0,UAE,9.927514958637723e-05,0.0,0.19776812807390395,0.01849398966440544
1775,Mohammad Hasnain ,2019,5,2,0,28,28,14,18,155,0,0,1,PAK,2.320717782538693e-05,0.0,0.19731348869902163,0.018437304890182797
1499,RS Haire ,2008,2,2,0,56,54,28,72,77,0,1,0,IRE,4.6414355650773934e-05,0.0,0.1960404984493502,0.018322718525987318
1558,WW Daniel ,1978,18,5,4,49,16,49,56,87,0,0,0,WI,0.001073976618252627,0.0,0.193812765512426,0.01830659349823728
1386,CK Langeveldt ,2001,72,21,10,73,12,6,124,58,0,0,1,SA,0.00121616662842087,0.0,0.1924943113252665,0.018209990589552756
1454,Adnan Akmal ,2011,5,4,1,62,27,20,89,69,0,0,0,PAK,0.00016392371638566922,0.0,0.19449472457474962,0.018200268159825773
1567,SS Tiwary ,2010,3,2,2,49,37,0,56,87,0,0,0,INDIA,0.0,0.0,0.193812765512426,0.018105932329994145
1216,G Cook ,1981,6,6,0,106,32,17,261,40,0,0,0,ENG,0.0005107651191033813,0.0,0.19276709495019606,0.01810367714792689
1498,V Aravind ,2019,3,3,0,56,23,18,73,76,0,0,0,UAE,6.050442790190152e-05,0.0,0.19349451795000797,0.018087506347240264
1460,SN Netravalkar ,2019,9,7,3,62,19,15,91,68,0,0,0,USA,0.00025141109310835804,0.0,0.19167596045047788,0.0179532861237541
1494,KD Boyce ,1973,8,4,0,57,34,14,77,74,0,0,0,WI,0.00017373151177616018,0.0,0.1917668883254544,0.017947266971549525
1523,BCJ Cutting ,2013,4,2,0,53,27,26,67,79,0,0,0,AUS,0.00012031816598757154,0.0,0.19035750626331863,0.01780562318962272
1481,Abdul Jabbar ,2007,2,2,0,59,44,29,82,71,0,0,0,CAN,5.474867943330381e-05,0.0,0.19044843413829515,0.017801866680500277
1532,AJ Woodcock ,1974,1,1,0,53,53,53,67,79,0,1,0,AUS,0.0,0.0,0.19035750626331863,0.017783143013297077
1224,CD Collymore ,1999,84,35,17,104,13,5,261,39,0,0,8,WI,0.0024937355815047406,0.0,0.1844017304523573,0.017692684273986067
1363,Shahadat Hossain ,2006,51,27,17,79,16,7,151,52,0,0,3,BDESH,0.0012167652262616044,0.0,0.18676585520174654,0.017674951721965104
1514,RJ Campbell ,2002,2,2,0,54,38,27,70,77,0,0,0,AUS,4.351345842260061e-05,0.0,0.18903905207615931,0.017668103434935634
1290,V Mehra ,1994,6,6,1,92,43,18,202,45,0,0,0,UAE,0.00041855802863644237,0.0,0.18822070120137055,0.017661726443514023
1260,EJ Gray ,1984,10,7,1,98,38,16,230,42,0,0,0,NZ,0.0007625215571198548,0.0,0.1871295667016525,0.017624058921180796
1371,MH Tissera ,1975,3,3,0,78,52,26,147,53,0,1,0,SL,0.00017598776517585053,0.0,0.18794791757644108,0.017590921389118382
1320,W Watson ,1986,61,24,13,86,21,7,180,47,0,0,3,NZ,0.0017405383369040158,0.0,0.18376523532752184,0.017492496147884996
1727,RE Bryson ,1997,7,4,3,32,17,32,25,128,0,0,0,SA,0.00011051037059708066,0.0,0.18622028795188753,0.017417292972356134
1575,MW Pringle ,1992,17,8,3,48,13,9,56,85,0,0,1,SA,0.0001856574226030952,0.0,0.18549286495207548,0.017363377758332896
1347,AM Phangiso ,2013,21,13,2,81,20,7,162,50,0,0,3,SA,0.0005221615010712046,0.0,0.1841289468274279,0.017298833149579047
1694,Joginder Sharma ,2004,4,3,2,35,29,35,30,116,0,0,0,INDIA,7.252243070433416e-05,0.0,0.1845835862023102,0.017257295125060832
